ID,Wiek,Płeć,Miasto,Liczba_Dzieci,Przychód,Czy_Aktywny,Data_Rejestracji,Opis
29,18,M,nan,0,2517.53,True,2023-11-14,
30,33,M,Wrocław,2,2881.28,True,2020-06-24,
31,22,M,Gdańsk,3,3753.33,False,2023-05-27,
32,52,K,Kraków,1,4116.51,False,2023-07-22,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
33,33,M,nan,4,4109.32,True,2023-02-09,nan
34,29,K,Gdańsk,1,6342.41,True,2022-05-26,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
35,28,M,Warszawa,0,5453.48,True,2021-04-07,nan
36,43,M,nan,2,5890.55,True,2022-07-05,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
37,27,M,Kraków,4,5488.83,False,2021-01-05,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
38,34,K,Warszawa,3,4749.34,True,2023-02-24,nan
39,37,M,Gdańsk,1,6485.58,False,2022-08-20,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
40,40,K,Warszawa,4,2446.5,True,2022-07-15,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
41,50,K,Kraków,2,5375.67,True,2022-12-24,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
42,29,M,Warszawa,3,5466.02,False,2022-07-10,
43,36,M,Kraków,4,2306.6,True,2020-04-01,
44,49,M,nan,1,2796.45,True,2022-04-04,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
45,38,K,Wrocław,0,4191.9,True,2020-07-20,nan
46,28,M,Warszawa,4,5745.6,False,2021-07-20,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
47,24,K,Gdańsk,2,4101.19,True,2021-12-26,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
48,38,K,Warszawa,2,7494.51,True,2021-04-16,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
49,38,K,Warszawa,3,2549.86,False,2022-01-05,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
50,24,M,Gdańsk,4,4191.68,True,2023-05-29,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
51,40,M,nan,2,2027.27,False,2020-09-09,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
52,34,M,Gdańsk,0,5281.57,True,2020-08-26,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
53,24,M,Poznań,3,9907.59,True,2020-07-25,
54,28,M,Warszawa,4,1971.44,True,2022-11-22,nan
55,22,M,Warszawa,0,4075.54,True,2020-09-01,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
56,32,K,Gdańsk,1,3424.34,True,2020-03-28,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
57,39,M,Poznań,2,4469.32,False,2020-10-23,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
58,31,K,nan,2,6207.78,False,2022-03-27,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
59,38,M,nan,3,6332.9,True,2021-07-14,nan
60,41,K,Poznań,0,6214.08,True,2020-03-25,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
61,18,K,Katowice,1,4100.88,True,2020-05-25,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
62,43,K,Poznań,3,2074.73,True,2021-08-18,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
63,40,M,Kraków,4,8126.43,True,2022-11-26,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
64,21,M,Katowice,2,3810.92,True,2022-07-03,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
65,39,M,nan,4,4230.99,True,2023-05-19,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
66,36,M,nan,4,2071.9,True,2021-01-09,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
67,33,M,Gdańsk,2,7171.96,False,2020-08-29,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
68,31,M,Warszawa,3,5281.63,True,2022-12-05,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
69,54,K,Gdańsk,4,1519.04,False,2022-02-11,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
70,23,K,Gdańsk,1,6699.41,False,2022-05-10,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
71,58,K,Warszawa,3,6045.12,False,2020-01-17,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
72,21,M,Gdańsk,4,4383.08,True,2020-07-26,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
73,33,M,Warszawa,3,5126.71,True,2020-02-20,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
74,45,K,Kraków,2,2049.05,True,2021-09-10,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
75,29,M,nan,0,8561.17,True,2023-06-06,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
76,25,M,nan,4,5593.44,True,2022-01-01,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
77,32,K,Gdańsk,3,6687.81,True,2020-05-28,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
78,36,K,nan,4,7462.72,False,2022-07-10,
79,24,M,nan,4,6329.54,False,2021-09-23,nan
80,25,M,Kraków,1,5471.33,True,2023-06-27,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
81,34,M,Warszawa,4,5834.84,False,2020-05-26,
82,44,M,Wrocław,4,5810.36,True,2020-09-02,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
83,42,K,Kraków,0,5385.16,True,2022-07-27,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
84,38,K,Katowice,3,5017.51,True,2022-01-20,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
85,33,K,Warszawa,1,6562.42,True,2022-08-08,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
86,25,M,Kraków,1,7266.65,True,2022-11-23,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
87,41,M,nan,3,6515.13,True,2020-03-21,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
88,41,K,nan,1,4568.29,False,2020-06-26,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
89,36,M,nan,2,6447.15,True,2020-07-25,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
90,36,M,nan,2,4134.28,True,2021-07-20,
91,44,K,Wrocław,2,7224.02,True,2020-02-17,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
92,26,K,Poznań,1,2614.55,True,2023-06-02,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
93,18,M,Kraków,2,4156.24,True,2023-04-03,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
94,18,M,Warszawa,1,5247.08,False,2023-06-25,nan
95,37,M,Kraków,0,6556.36,True,2020-10-21,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
96,36,K,Wrocław,3,5662.86,True,2020-06-16,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
97,24,K,Poznań,3,2488.03,True,2023-01-13,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
98,33,M,nan,3,2633.76,True,2020-01-01,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
99,38,M,Kraków,0,5548.4,True,2023-01-11,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
100,28,K,Kraków,3,100.0,True,2021-03-19,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
101,45,M,Warszawa,1,564.36,True,2023-11-14,
102,25,M,Katowice,2,4917.46,False,2023-04-08,
103,31,K,Poznań,4,7456.94,True,2021-05-18,
104,27,M,nan,1,3726.11,True,2023-06-01,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
105,45,M,Wrocław,0,4557.55,True,2022-10-20,nan
106,34,M,nan,3,2165.34,True,2023-03-09,
107,35,M,Kraków,1,6151.69,True,2020-10-23,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
108,30,K,Kraków,2,7323.39,True,2020-11-28,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
109,28,K,Warszawa,3,6662.8,True,2022-03-10,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
110,34,K,Warszawa,3,5291.12,True,2021-01-13,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
111,40,M,Warszawa,3,2904.73,True,2020-06-21,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
112,23,K,Wrocław,3,5930.34,False,2020-10-10,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
113,35,M,nan,0,7544.13,True,2021-09-08,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
114,50,M,Wrocław,1,5039.49,True,2023-03-09,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
115,37,K,Kraków,2,5403.86,True,2023-05-31,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
116,32,M,Kraków,4,4508.0,True,2020-09-26,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
117,30,M,Kraków,4,9417.02,False,2021-05-11,
118,47,M,Warszawa,1,7172.28,True,2020-11-01,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
119,39,M,Katowice,2,6167.5,True,2021-02-15,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
120,32,M,nan,2,7567.93,True,2020-09-08,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
121,26,M,Warszawa,0,4791.85,True,2020-06-21,
122,40,M,nan,0,4604.97,True,2023-01-02,
123,36,M,Katowice,3,4546.17,True,2021-07-01,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
124,52,M,Kraków,3,3980.52,False,2023-03-31,
125,31,M,Warszawa,2,8800.86,False,2020-12-11,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
126,19,K,nan,0,6685.42,True,2022-08-28,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
127,36,M,nan,0,8208.57,True,2022-03-13,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
128,42,M,Wrocław,3,3707.84,False,2021-09-18,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
129,33,M,nan,3,75.65,True,2021-10-23,
130,53,M,Wrocław,3,3116.92,True,2022-09-03,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
131,32,K,Warszawa,2,4739.9,True,2020-07-28,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
132,35,M,Kraków,2,2254.66,True,2022-01-24,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
133,33,M,Poznań,0,2400.31,True,2023-09-07,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
134,49,M,nan,4,2091.75,True,2021-08-25,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
135,36,M,Kraków,3,4517.49,True,2021-02-14,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
136,47,K,Kraków,3,6327.76,True,2020-10-07,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
137,26,K,Katowice,4,1355.06,True,2023-08-18,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
138,44,K,Gdańsk,4,3522.05,False,2022-11-11,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
139,23,K,Katowice,2,5714.25,False,2021-03-09,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
140,34,M,nan,2,7339.93,True,2023-01-29,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
141,54,K,Gdańsk,1,3836.99,True,2023-11-15,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
142,38,M,Katowice,2,4808.19,False,2022-03-16,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
143,43,M,Wrocław,0,6820.14,True,2022-07-27,
144,24,M,Kraków,2,1904.01,True,2021-08-09,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
145,37,M,Warszawa,2,5852.76,False,2020-06-18,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
146,25,M,Gdańsk,1,6608.21,False,2021-07-15,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
147,32,M,Kraków,3,5301.61,False,2020-08-31,
148,24,M,Kraków,3,6324.55,True,2023-11-05,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
149,35,K,Gdańsk,3,5792.19,True,2023-03-01,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
150,40,K,Warszawa,0,3840.45,False,2021-11-28,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
151,30,M,Kraków,3,4880.25,True,2023-12-30,
152,26,K,Kraków,4,6223.48,True,2021-10-03,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
153,41,M,Wrocław,4,6941.97,True,2021-07-19,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
154,38,K,nan,3,4195.93,True,2022-08-23,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
155,41,K,Warszawa,3,4845.69,True,2022-08-03,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
156,42,M,nan,0,5522.38,True,2022-12-12,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
157,42,K,nan,4,8915.52,True,2023-07-01,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
158,30,M,nan,4,6614.67,True,2022-03-16,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
159,34,M,Poznań,3,7067.88,False,2020-10-15,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
160,31,M,Poznań,1,5934.53,False,2023-08-13,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
161,29,M,nan,3,5556.64,True,2023-09-25,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
162,41,M,Kraków,2,4302.14,True,2022-06-03,nan
163,60,K,Gdańsk,2,6008.05,False,2022-04-06,
164,18,M,Wrocław,1,3936.83,True,2020-07-24,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
165,31,K,Kraków,3,5347.86,False,2022-03-26,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
166,46,K,Wrocław,2,6531.3,True,2022-12-29,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
167,32,K,Katowice,2,3516.25,True,2023-08-08,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
168,36,M,nan,3,6203.5,False,2021-06-27,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
169,38,M,Warszawa,4,5165.24,True,2023-09-20,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
170,42,M,Gdańsk,4,3735.98,True,2021-01-03,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
171,34,K,Kraków,0,7180.8,True,2021-01-06,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
172,38,M,nan,3,5839.6,True,2023-02-15,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
173,43,K,Gdańsk,3,3463.14,True,2020-02-11,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
174,39,M,Warszawa,3,6221.54,True,2020-10-15,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
175,24,M,nan,0,5509.45,True,2023-10-04,nan
176,37,M,Gdańsk,4,7751.29,True,2020-05-27,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
177,25,K,nan,2,3448.37,True,2023-05-09,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
178,40,K,Katowice,4,8872.14,True,2021-09-27,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
179,41,K,nan,0,1684.89,False,2021-06-28,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
180,24,K,Warszawa,3,4925.2,True,2020-04-21,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
181,27,K,Warszawa,2,6295.7,True,2022-07-29,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
182,33,K,Poznań,4,2499.07,True,2020-11-30,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
183,39,K,Wrocław,4,7032.06,False,2022-01-29,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
184,39,M,Katowice,1,3712.44,False,2020-08-14,
185,29,M,Warszawa,1,7695.54,True,2023-10-29,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
186,38,K,Kraków,4,3694.78,True,2022-02-06,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
187,33,K,Poznań,4,6390.58,True,2022-08-02,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
188,34,M,Gdańsk,0,3580.95,True,2022-10-27,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
189,35,K,Kraków,2,6864.79,True,2020-05-21,
190,41,M,nan,3,4139.58,False,2021-10-02,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
191,48,M,Katowice,1,7683.32,False,2020-08-05,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
192,43,K,Gdańsk,2,5013.51,True,2023-03-30,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
193,22,M,Poznań,2,3618.92,True,2023-10-12,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
194,18,M,Gdańsk,3,4142.01,True,2020-11-10,nan
195,18,K,nan,2,3115.09,True,2023-10-24,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
196,41,K,nan,4,7401.9,True,2020-07-07,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
197,34,K,Katowice,3,4720.82,True,2023-07-22,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
198,63,K,Katowice,0,3022.32,True,2021-07-18,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
199,31,M,Poznań,0,4600.86,True,2021-09-23,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
200,30,M,Warszawa,4,3039.16,True,2022-12-25,nan
201,31,M,nan,1,2442.92,True,2020-10-22,nan
202,18,K,Poznań,4,2940.64,True,2023-05-15,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
203,38,M,Warszawa,0,5561.5,False,2020-07-21,
204,43,K,Warszawa,1,1962.22,True,2020-08-20,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
205,35,M,nan,1,3991.14,False,2022-06-13,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
206,40,K,Warszawa,0,4303.44,True,2020-04-01,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
207,35,K,Katowice,0,4514.99,False,2022-07-30,nan
208,38,M,nan,1,3521.36,False,2021-06-24,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
209,23,M,nan,1,5117.79,False,2020-04-28,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
210,40,K,Poznań,2,4347.92,True,2020-10-05,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
211,39,K,Poznań,1,2937.15,True,2023-12-24,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
212,34,M,nan,4,6759.42,True,2023-10-23,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
213,18,K,nan,0,5295.34,True,2020-12-19,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
214,47,M,nan,1,6700.33,False,2022-02-17,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
215,35,K,Warszawa,1,7440.73,False,2021-11-13,nan
216,31,M,Gdańsk,1,4634.29,True,2022-09-17,nan
217,33,K,Warszawa,4,1356.05,True,2021-03-12,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
218,40,M,Wrocław,2,3298.72,True,2021-10-01,nan
219,40,M,Wrocław,2,5976.77,False,2020-02-26,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
220,54,K,Gdańsk,1,3283.12,True,2022-11-01,nan
221,18,K,Gdańsk,0,7355.47,True,2020-02-12,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
222,35,M,Kraków,2,4840.18,False,2020-12-10,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
223,44,M,Poznań,0,3517.62,True,2022-12-19,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
224,26,K,Gdańsk,1,5574.09,True,2021-05-18,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
225,41,K,Poznań,4,2454.97,True,2022-04-15,nan
226,29,M,Gdańsk,3,3392.42,True,2023-08-01,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
227,41,K,Warszawa,3,4349.64,False,2020-03-05,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
228,42,M,Katowice,0,2976.77,False,2023-07-03,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
229,50,M,Wrocław,1,2752.66,True,2020-05-17,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
230,28,K,Poznań,2,4355.25,False,2023-06-11,nan
231,38,M,nan,1,5724.31,False,2020-07-30,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
232,36,K,Kraków,3,1957.34,False,2023-04-04,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
233,44,M,Wrocław,2,6289.91,True,2023-06-19,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
234,25,K,nan,2,5072.73,True,2021-07-23,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
